pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,806.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,808.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,812.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,815.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,811.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,806.47
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,805.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,805.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,807.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,810.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,815.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,810.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,806.82
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,804.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,805.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,808.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,811.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,815.55
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,811.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,807.0
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,804.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,805.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,809.41
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,813.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,814.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,810.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,805.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,803.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,803.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,808.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,811.49
